strategy,expiry,entry_time,exit_time,entry_reason,exit_reason,legs,gross_pnl,charges,net_pnl
ShortStrangle,2025-02-06,2025-02-06 09:20:00,2025-02-06 09:34:00,entry,stop_loss,"SELL:NIFTY06FEB25CE23800@30.75,SELL:NIFTY06FEB25PE23600@19.9",-1460.0,102.18,-1562.18
ShortStrangle,2025-02-13,2025-02-13 09:20:00,2025-02-13 09:26:00,entry,stop_loss,"SELL:NIFTY13FEB25CE23200@36.7,SELL:NIFTY13FEB25PE23000@34.3",-1872.5,105.2,-1977.7
ShortStrangle,2025-02-20,2025-02-20 09:20:00,2025-02-20 10:44:00,entry,target,"SELL:NIFTY20FEB25CE22950@37.55,SELL:NIFTY20FEB25PE22750@26.75",1617.5,102.12,1515.38
ShortStrangle,2025-02-27,2025-02-27 09:20:00,2025-02-27 12:22:00,entry,target,"SELL:NIFTY27FEB25CE22700@5.8,SELL:NIFTY27FEB25PE22500@10.95",415.0,96.42,318.58
ShortStrangle,2025-03-06,2025-03-06 09:20:00,2025-03-06 09:32:00,entry,stop_loss,"SELL:NIFTY06MAR25CE22500@20.05,SELL:NIFTY06MAR25PE22300@20.75",-1310.0,100.75,-1410.75
ShortStrangle,2025-03-13,2025-03-13 09:20:00,2025-03-13 11:06:00,entry,target,"SELL:NIFTY13MAR25CE22600@10.7,SELL:NIFTY13MAR25PE22400@23.95",922.5,98.52,823.98
ShortStrangle,2025-03-20,2025-03-20 09:20:00,2025-03-20 11:35:00,entry,target,"SELL:NIFTY20MAR25CE23100@21.35,SELL:NIFTY20MAR25PE22900@22.0",1092.5,99.59,992.91
ShortStrangle,2025-03-27,2025-03-27 09:20:00,2025-03-27 10:50:00,entry,target,"SELL:NIFTY27MAR25CE23600@41.9,SELL:NIFTY27MAR25PE23400@34.65",1902.5,103.59,1798.91
ShortStrangle,2025-04-03,2025-04-03 09:20:00,2025-04-03 09:53:00,entry,target,"SELL:NIFTY03APR25CE23350@10.65,SELL:NIFTY03APR25PE23150@33.3",1117.5,99.66,1017.84
ShortStrangle,2025-04-09,2025-04-09 09:20:00,2025-04-09 09:48:00,entry,target,"SELL:NIFTY09APR25CE22550@65.4,SELL:NIFTY09APR25PE22350@86.75",3980.0,112.56,3867.44
ShortStrangle,2025-04-17,2025-04-17 09:20:00,2025-04-17 09:44:00,entry,stop_loss,"SELL:NIFTY17APR25CE23450@17.2,SELL:NIFTY17APR25PE23250@19.0",-997.5,99.93,-1097.43
ShortStrangle,2025-04-24,2025-04-24 09:20:00,2025-04-24 09:36:00,entry,stop_loss,"SELL:NIFTY24APR25CE24350@24.4,SELL:NIFTY24APR25PE24150@10.95",-1562.5,100.16,-1662.66
ShortStrangle,2025-04-30,2025-04-30 09:20:00,2025-04-30 10:35:00,entry,target,"SELL:NIFTY30APR25CE24400@14.0,SELL:NIFTY30APR25PE24200@12.85",675.0,97.61,577.39
ShortStrangle,2025-05-08,2025-05-08 09:20:00,2025-05-08 10:01:00,entry,target,"SELL:NIFTY08MAY25CE24500@9.65,SELL:NIFTY08MAY25PE24300@13.0",545.0,97.13,447.87
ShortStrangle,2025-05-15,2025-05-15 09:20:00,2025-05-15 10:40:00,entry,stop_loss,"SELL:NIFTY15MAY25CE24700@35.6,SELL:NIFTY15MAY25PE24500@47.4",-3720.0,107.97,-3827.97
ShortStrangle,2025-05-22,2025-05-22 09:20:00,2025-05-22 09:54:00,entry,target,"SELL:NIFTY22MAY25CE24750@57.4,SELL:NIFTY22MAY25PE24550@76.35",3437.5,110.4,3327.1
ShortStrangle,2025-05-29,2025-05-29 09:20:00,2025-05-29 12:40:00,entry,stop_loss,"SELL:NIFTY29MAY25CE24950@35.65,SELL:NIFTY29MAY25PE24750@23.35",-2957.5,104.24,-3061.74
ShortStrangle,2025-06-05,2025-06-05 09:20:00,2025-06-05 09:28:00,entry,stop_loss,"SELL:NIFTY05JUN25CE24750@18.65,SELL:NIFTY05JUN25PE24550@23.55",-1350.0,100.96,-1450.96
ShortStrangle,2025-06-12,2025-06-12 09:20:00,2025-06-12 09:46:00,entry,stop_loss,"SELL:NIFTY12JUN25CE25250@24.85,SELL:NIFTY12JUN25PE25050@20.45",-1125.0,101.25,-1226.25
ShortStrangle,2025-06-19,2025-06-19 09:20:00,2025-06-19 10:35:00,entry,target,"SELL:NIFTY19JUN25CE24850@23.15,SELL:NIFTY19JUN25PE24650@27.65",1335.0,100.46,1234.54
ShortStrangle,2025-06-26,2025-06-26 09:20:00,2025-06-26 09:31:00,entry,stop_loss,"SELL:NIFTY26JUN25CE25400@27.6,SELL:NIFTY26JUN25PE25200@21.9",-1430.0,102.01,-1532.01
ShortStrangle,2025-07-03,2025-07-03 09:20:00,2025-07-03 09:28:00,entry,stop_loss,"SELL:NIFTY03JUL25CE25650@17.95,SELL:NIFTY03JUL25PE25450@23.5",-1085.0,100.7,-1185.7
ShortStrangle,2025-07-10,2025-07-10 09:20:00,2025-07-10 12:52:00,entry,target,"SELL:NIFTY10JUL25CE25550@20.0,SELL:NIFTY10JUL25PE25350@12.25",825.0,98.26,726.74
ShortStrangle,2025-07-17,2025-07-17 09:20:00,2025-07-17 11:48:00,entry,target,"SELL:NIFTY17JUL25CE25300@13.4,SELL:NIFTY17JUL25PE25100@12.0",632.5,97.45,535.05
ShortStrangle,2025-07-24,2025-07-24 09:20:00,2025-07-24 11:35:00,entry,stop_loss,"SELL:NIFTY24JUL25CE25300@12.3,SELL:NIFTY24JUL25PE25100@9.3",-557.5,97.68,-655.18
ShortStrangle,2025-07-31,2025-07-31 09:20:00,2025-07-31 10:59:00,entry,target,"SELL:NIFTY31JUL25CE24800@23.15,SELL:NIFTY31JUL25PE24600@28.25",1282.5,100.57,1181.93
ShortStrangle,2025-08-07,2025-08-07 09:20:00,2025-08-07 10:19:00,entry,target,"SELL:NIFTY07AUG25CE24600@23.85,SELL:NIFTY07AUG25PE24400@17.5",1027.5,99.37,928.13
ShortStrangle,2025-08-14,2025-08-14 09:20:00,2025-08-14 11:42:00,entry,target,"SELL:NIFTY14AUG25CE24700@22.3,SELL:NIFTY14AUG25PE24500@17.0",985.0,99.12,885.88
ShortStrangle,2025-08-21,2025-08-21 09:20:00,2025-08-21 11:32:00,entry,target,"SELL:NIFTY21AUG25CE25200@9.25,SELL:NIFTY21AUG25PE25000@16.9",650.0,97.54,552.46
ShortStrangle,2025-08-28,2025-08-28 09:20:00,2025-08-28 12:03:00,entry,target,"SELL:NIFTY28AUG25CE24700@17.5,SELL:NIFTY28AUG25PE24500@23.25",1010.0,99.29,910.71
ShortStrangle,2025-09-02,2025-09-02 09:20:00,2025-09-02 09:58:00,entry,stop_loss,"SELL:NIFTY02SEP25CE24750@12.3,SELL:NIFTY02SEP25PE24550@11.6",-672.5,98.06,-770.56
ShortStrangle,2025-09-09,2025-09-09 09:20:00,2025-09-09 12:57:00,entry,target,"SELL:NIFTY09SEP25CE24950@15.45,SELL:NIFTY09SEP25PE24750@14.65",772.5,98.01,674.49
ShortStrangle,2025-09-16,2025-09-16 09:20:00,2025-09-16 10:00:00,entry,stop_loss,"SELL:NIFTY16SEP25CE25200@12.1,SELL:NIFTY16SEP25PE25000@10.0",-665.0,97.82,-762.82
ShortStrangle,2025-09-23,2025-09-23 09:20:00,2025-09-23 09:36:00,entry,stop_loss,"SELL:NIFTY23SEP25CE25350@11.2,SELL:NIFTY23SEP25PE25150@10.65",-570.0,97.71,-667.71
ShortStrangle,2025-09-30,2025-09-30 09:20:00,2025-09-30 10:41:00,entry,stop_loss,"SELL:NIFTY30SEP25CE24800@27.35,SELL:NIFTY30SEP25PE24600@12.55",-1050.0,100.46,-1150.46
ShortStrangle,2025-10-07,2025-10-07 09:20:00,2025-10-07 09:56:00,entry,stop_loss,"SELL:NIFTY07OCT25CE25200@13.8,SELL:NIFTY07OCT25PE25000@17.45",-1185.0,99.37,-1284.37
ShortStrangle,2025-10-14,2025-10-14 09:20:00,2025-10-14 10:03:00,entry,stop_loss,"SELL:NIFTY14OCT25CE25400@15.85,SELL:NIFTY14OCT25PE25200@15.0",-1980.0,99.82,-2079.82
ShortStrangle,2025-10-20,2025-10-20 09:20:00,2025-10-20 09:47:00,entry,stop_loss,"SELL:NIFTY20OCT25CE26000@27.65,SELL:NIFTY20OCT25PE25800@14.4",-1652.5,101.13,-1753.63
ShortStrangle,2025-10-28,2025-10-28 09:20:00,2025-10-28 12:33:00,entry,target,"SELL:NIFTY28OCT25CE26050@39.85,SELL:NIFTY28OCT25PE25850@26.9",1755.0,102.36,1652.64
ShortStrangle,2025-11-04,2025-11-04 09:20:00,2025-11-04 12:56:00,entry,target,"SELL:NIFTY04NOV25CE25850@24.55,SELL:NIFTY04NOV25PE25650@20.3",1202.5,99.74,1102.76
ShortStrangle,2025-11-11,2025-11-11 09:20:00,2025-11-11 11:44:00,entry,target,"SELL:NIFTY11NOV25CE25650@19.7,SELL:NIFTY11NOV25PE25450@26.5",1157.5,99.94,1057.56
ShortStrangle,2025-11-18,2025-11-18 09:20:00,2025-11-18 11:32:00,entry,target,"SELL:NIFTY18NOV25CE26050@21.4,SELL:NIFTY18NOV25PE25850@21.35",1052.5,99.55,952.95
ShortStrangle,2025-11-25,2025-11-25 09:20:00,2025-11-25 11:44:00,entry,target,"SELL:NIFTY25NOV25CE26050@23.95,SELL:NIFTY25NOV25PE25850@15.45",990.0,99.13,890.87
ShortStrangle,2025-12-02,2025-12-02 09:20:00,2025-12-02 14:04:00,entry,target,"SELL:NIFTY02DEC25CE26250@18.25,SELL:NIFTY02DEC25PE26050@16.4",837.5,98.58,738.92
ShortStrangle,2025-12-09,2025-12-09 09:20:00,2025-12-09 11:46:00,entry,target,"SELL:NIFTY09DEC25CE25900@27.35,SELL:NIFTY09DEC25PE25700@17.3",1112.5,99.76,1012.74
ShortStrangle,2025-12-16,2025-12-16 09:20:00,2025-12-16 12:20:00,entry,target,"SELL:NIFTY16DEC25CE26050@13.95,SELL:NIFTY16DEC25PE25850@18.9",842.5,98.34,744.16
ShortStrangle,2025-12-23,2025-12-23 09:20:00,2025-12-23 10:29:00,entry,target,"SELL:NIFTY23DEC25CE26250@14.35,SELL:NIFTY23DEC25PE26050@12.0",655.0,97.56,557.44
ShortStrangle,2025-12-30,2025-12-30 09:20:00,2025-12-30 09:44:00,entry,stop_loss,"SELL:NIFTY30DEC25CE26000@9.6,SELL:NIFTY30DEC25PE25800@8.95",-465.0,97.2,-562.2
ShortStrangle,2026-01-06,2026-01-06 09:20:00,2026-01-06 10:40:00,entry,target,"SELL:NIFTY06JAN26CE26300@12.15,SELL:NIFTY06JAN26PE26100@10.7",567.5,97.15,470.35
ShortStrangle,2026-01-13,2026-01-13 09:20:00,2026-01-13 11:18:00,entry,target,"SELL:NIFTY13JAN26CE25900@29.7,SELL:NIFTY13JAN26PE25700@22.1",1290.0,100.62,1189.38
ShortStrangle,2026-01-20,2026-01-20 09:20:00,2026-01-20 09:37:00,entry,stop_loss,"SELL:NIFTY20JAN26CE25650@20.65,SELL:NIFTY20JAN26PE25450@18.75",-1095.0,100.43,-1195.43
